id_cliente,nome,cpf,email,data_nascimento,telefone,genero,admin,salario,cargo,criado_em,alterado_em,deletado_em
7,Darius,625.830.479-25,darius@lol.com,1987-11-10,(61) 99444-5566,Masculino,1,11000.00,Gerente,2024-09-19 13:13:13,2024-09-19 13:13:13,NULL
8,Katarina,395.712.640-06,katarina@lol.com,1994-06-21,(71) 98888-1111,Feminino,0,8700.00,Supervisor,2024-10-01 09:59:59,2024-10-01 09:59:59,NULL
9,Ezreal,244.951.786-15,ezreal@lol.com,1996-09-23,(41) 98765-1111,Masculino,0,7900.00,Vendedor,2024-11-03 08:08:08,2024-11-03 08:08:08,NULL
10,Morgana,934.680.152-44,morgana@lol.com,1991-03-05,(21) 99666-7777,Feminino,0,9500.00,Supervisor,2024-11-04 09:10:11,2024-11-04 09:10:11,NULL
11,Thresh,132.874.569-88,thresh@lol.com,1985-01-28,(31) 98888-3333,Masculino,0,6200.00,Vendedor,2024-10-20 18:00:00,2024-10-20 18:00:00,NULL
12,Leona,248.597.320-71,leona@lol.com,1992-07-16,(41) 98700-6543,Feminino,1,9800.00,Gerente,2024-10-27 14:00:00,2024-10-27 14:00:00,NULL
13,Ashe,905.643.218-12,ashe@lol.com,1990-02-09,(51) 99123-4567,Feminino,0,8700.00,Supervisor,2024-09-29 07:33:44,2024-09-29 07:33:44,NULL
14,Tryndamere,458.921.360-55,tryndamere@lol.com,1986-10-01,(11) 99777-3333,Masculino,0,8900.00,Supervisor,2024-11-01 17:22:22,2024-11-01 17:22:22,NULL
15,Soraka,319.658.207-02,soraka@lol.com,1993-05-17,(71) 99800-8899,Feminino,0,7200.00,Vendedor,2024-10-12 09:55:55,2024-10-12 09:55:55,NULL
16,Blitzcrank,820.451.799-17,blitzcrank@lol.com,1984-08-08,(61) 98989-1111,Outros,0,7500.00,Vendedor,2024-10-13 08:33:33,2024-10-13 08:33:33,NULL
17,Zed,932.147.506-09,zed@lol.com,1990-09-09,(81) 99666-1010,Masculino,1,11200.00,Gerente,2024-09-10 09:10:10,2024-09-10 09:10:10,NULL
18,Riven,314.890.276-44,riven@lol.com,1995-12-03,(31) 98777-4444,Feminino,0,8600.00,Supervisor,2024-09-12 15:15:15,2024-09-12 15:15:15,NULL
19,Sett,249.870.654-30,sett@lol.com,1998-01-25,(21) 99777-6666,Masculino,0,6900.00,Vendedor,2024-09-22 16:00:00,2024-09-22 16:00:00,NULL
20,Jhin,803.294.176-60,jhin@lol.com,1991-11-11,(11) 98888-2222,Masculino,0,9300.00,Supervisor,2024-10-18 13:00:00,2024-10-18 13:00:00,NULL
21,Vi,218.456.309-90,vi@lol.com,1994-03-07,(71) 99333-4444,Feminino,0,7700.00,Vendedor,2024-09-27 11:22:33,2024-09-27 11:22:33,NULL
22,Caitlyn,495.382.601-17,caitlyn@lol.com,1993-09-23,(41) 99123-2222,Feminino,0,8900.00,Supervisor,2024-10-05 10:00:00,2024-10-05 10:00:00,NULL
23,Ekko,231.579.864-02,ekko@lol.com,2000-01-01,(31) 98777-1010,Masculino,0,7100.00,Vendedor,2024-09-08 12:12:12,2024-09-08 12:12:12,NULL
24,Sona,925.471.638-88,sona@lol.com,1992-10-10,(21) 99999-1234,Feminino,0,8400.00,Vendedor,2024-10-11 09:09:09,2024-10-11 09:09:09,NULL
25,Teemo,854.693.214-77,teemo@lol.com,1996-06-06,(51) 98888-9999,Prefiro não declarar,0,6800.00,Vendedor,2024-09-30 15:00:00,2024-09-30 15:00:00,NULL
26,Lucian,719.243.655-21,lucian@lol.com,1991-08-14,(61) 99111-1111,Masculino,1,10300.00,Gerente,2024-10-07 13:30:30,2024-10-07 13:30:30,NULL
27,Nami,478.260.359-50,nami@lol.com,1998-12-24,(81) 99333-7777,Feminino,0,7600.00,Vendedor,2024-11-02 09:45:00,2024-11-02 09:45:00,NULL
28,Braum,395.108.470-06,braum@lol.com,1985-07-07,(71) 98777-9876,Masculino,0,9500.00,Supervisor,2024-09-26 10:00:00,2024-09-26 10:00:00,NULL
29,Talon,734.602.915-40,talon@lol.com,1990-05-01,(21) 98989-2222,Masculino,0,8700.00,Supervisor,2024-10-10 18:00:00,2024-10-10 18:00:00,NULL
30,Lissandra,211.976.530-73,lissandra@lol.com,1989-02-20,(31) 98111-5555,Feminino,0,8800.00,Vendedor,2024-11-05 12:00:00,2024-11-05 12:00:00,NULL
31,Swain,542.803.267-84,swain@lol.com,1984-03-15,(41) 99777-5555,Masculino,1,11500.00,Gerente,2024-09-13 17:30:00,2024-09-13 17:30:00,NULL
32,Zyra,315.889.204-60,zyra@lol.com,1992-04-29,(11) 99999-9999,Feminino,0,8100.00,Vendedor,2024-09-09 09:09:09,2024-09-09 09:09:09,NULL
33,Orianna,659.412.380-11,orianna@lol.com,1995-05-05,(51) 98888-3333,Outros,0,8300.00,Supervisor,2024-09-25 10:10:10,2024-09-25 10:10:10,NULL
34,Sylas,418.762.903-09,sylas@lol.com,1997-07-17,(21) 99777-1111,Masculino,0,9100.00,Supervisor,2024-10-06 09:09:09,2024-10-06 09:09:09,NULL
35,Evelynn,209.655.437-00,evelynn@lol.com,1993-11-15,(71) 99666-2222,Feminino,0,9400.00,Vendedor,2024-09-24 14:00:00,2024-09-24 14:00:00,NULL
36,Draven,312.580.469-10,draven@lol.com,1988-06-30,(61) 99888-1111,Masculino,0,9700.00,Supervisor,2024-09-18 13:13:13,2024-09-18 13:13:13,NULL
37,Kai'Sa,874.596.230-31,kaisa@lol.com,1999-09-09,(81) 99222-8888,Feminino,0,8800.00,Vendedor,2024-09-29 15:00:00,2024-09-29 15:00:00,NULL
38,Xayah,947.502.188-29,xayah@lol.com,1998-08-08,(31) 99555-0000,Feminino,0,7900.00,Vendedor,2024-09-14 18:00:00,2024-09-14 18:00:00,NULL
39,Rakan,609.452.377-04,rakan@lol.com,1998-08-08,(31) 99666-0000,Masculino,0,7900.00,Vendedor,2024-09-14 18:00:00,2024-09-14 18:00:00,NULL
40,Shen,219.654.708-92,shen@lol.com,1989-09-21,(21) 99333-7777,Masculino,0,8800.00,Supervisor,2024-09-10 11:11:11,2024-09-10 11:11:11,NULL
41,Irelia,344.519.670-44,irelia@lol.com,1996-03-14,(51) 99777-8888,Feminino,0,8700.00,Supervisor,2024-09-07 12:00:00,2024-09-07 12:00:00,NULL
42,Nocturne,942.133.688-55,nocturne@lol.com,1986-06-01,(61) 99999-3333,Outros,0,8500.00,Vendedor,2024-09-06 12:00:00,2024-09-06 12:00:00,NULL
43,Fiora,180.522.794-66,fiora@lol.com,1993-03-29,(81) 99444-7777,Feminino,0,9300.00,Supervisor,2024-09-05 10:10:10,2024-09-05 10:10:10,NULL
44,Renekton,402.639.278-11,renekton@lol.com,1985-07-10,(41) 99333-3333,Masculino,1,10700.00,Gerente,2024-09-04 09:00:00,2024-09-04 09:00:00,NULL
45,Tahm Kench,392.540.879-71,tahmkench@lol.com,1984-01-19,(71) 99111-2222,Masculino,0,9600.00,Supervisor,2024-09-03 09:09:09,2024-09-03 09:09:09,NULL
46,Singed,309.875.621-19,singed@lol.com,1983-02-11,(61) 99222-3333,Masculino,0,7400.00,Vendedor,2024-09-02 08:08:08,2024-09-02 08:08:08,NULL
47,Heimerdinger,582.619.340-72,heimerdinger@lol.com,1982-04-02,(51) 99888-7777,Masculino,0,8500.00,Vendedor,2024-09-01 10:10:10,2024-09-01 10:10:10,NULL
48,Viego,918.430.675-18,viego@lol.com,1994-10-15,(21) 99555-9999,Masculino,0,9200.00,Supervisor,2024-08-30 17:00:00,2024-08-30 17:00:00,NULL
49,Gwen,701.223.944-08,gwen@lol.com,1997-02-02,(11) 99444-1111,Feminino,0,8300.00,Vendedor,2024-08-29 16:00:00,2024-08-29 16:00:00,NULL
50,Volibear,901.657.238-33,volibear@lol.com,1980-05-05,(31) 99666-9999,Prefiro não declarar,0,9700.00,Supervisor,2024-08-28 15:00:00,2024-08-28 15:00:00,NULL
51,Ahri,284.915.370-08,ahri@lol.com,1997-03-12,(11) 91234-5678,Feminino,0,8500.50,Vendedor,2024-11-02 14:33:21,2024-11-02 14:33:21,NULL
52,Yasuo,513.278.490-22,yasuo@lol.com,1989-05-19,(21) 99876-1234,Masculino,0,7200.00,Supervisor,2024-10-25 10:45:02,2024-10-25 10:45:02,NULL
53,Miss Fortune,107.825.334-90,missfortune@lol.com,1993-08-14,(41) 99712-9955,Feminino,1,13200.75,Gerente,2024-09-30 09:22:15,2024-09-30 09:22:15,NULL
54,Jinx,473.221.598-11,jinx@lol.com,1998-02-04,(31) 99111-4321,Feminino,0,6800.00,Vendedor,2024-11-10 16:44:00,2024-11-10 16:44:00,NULL
55,Garen,742.130.985-77,garen@lol.com,1988-12-25,(51) 99220-3344,Masculino,0,9400.00,Supervisor,2024-10-28 11:00:00,2024-10-28 11:00:00,NULL
56,Lux,314.520.978-03,lux@lol.com,1999-04-11,(11) 99555-1234,Feminino,0,7800.00,Vendedor,2024-10-14 12:12:12,2024-10-14 12:12:12,NULL
